date,to_type,sport,store,turnover,quantity,nb_transaction
8/1/2017 0:00,offline,FITNESS,1618,1194.12,116.95,144.83
8/1/2017 0:00,offline,JOG/RUN,1614,2125.06,132.74,112.07
8/1/2017 0:00,offline,PILATES,1614,1075.12,92.17,94.53
8/1/2017 0:00,offline,PILATES,1618,656.51,101.55,109.72
8/1/2017 0:00,online,DIVING,191,648.71,50.06,16.28
8/1/2017 0:00,offline,SKATE/ROLLER,1618,1476.52,27.05,37.9
8/1/2017 0:00,offline,SURFING,1618,1156.52,41.05,114.64
8/1/2017 0:00,online,BADMINTON,191,445.17,14.53,68.43
8/1/2017 0:00,offline,TRAIL,1618,1480.24,61.8,56.84
8/1/2017 0:00,offline,BOXING,1618,292.01,25.29,4.94
8/1/2017 0:00,offline,FOOTBALL,1618,490.58,50.6,58.79
8/1/2017 0:00,offline,BADMINTON,1614,9.77,35.38,49.21
8/1/2017 0:00,offline,SWIMMING,1614,1197.87,63.17,22.96
8/1/2017 0:00,offline,SURFING,1614,926.19,75.57,76.07
8/1/2017 0:00,offline,JOG/RUN,1618,3621.08,90.03,86.63
8/1/2017 0:00,offline,CYCLING,1618,685.1,106.24,76.02
8/1/2017 0:00,offline,BASKETBALL,1614,1091.48,68.65,103.67
8/1/2017 0:00,online,YOGA,191,130.25,75.69,16.5
8/1/2017 0:00,offline,HIKING/TREKKING,1618,8511.05,227.09,114.77
8/1/2017 0:00,online,SWIMMING,191,179.04,92.1,91.85
8/1/2017 0:00,offline,FOOTBALL,1614,230.03,86.42,89.8
8/1/2017 0:00,offline,YOGA,1618,791.24,32.69,81.99
8/1/2017 0:00,offline,DIVING,1618,2229.55,39.22,109.45
8/1/2017 0:00,offline,SWIMMING,1618,2528.14,139.66,41.82
8/1/2017 0:00,offline,DIVING,1614,737.31,47.81,75.44
8/1/2017 0:00,offline,CROSSTRAIN,1618,1521.48,63.91,107.95
8/1/2017 0:00,offline,KAYAK/SUP,1618,1151.83,63.49,37.04
8/1/2017 0:00,online,VOLLEYBALL,191,12.27,21.75,83.57
8/1/2017 0:00,online,CYCLING,191,342.99,74.26,9.13
8/1/2017 0:00,offline,TENNIS,1618,114.74,86.37,65.81
8/1/2017 0:00,offline,BASKETBALL,1618,272.77,57.64,48.54
8/1/2017 0:00,offline,SKATE/ROLLER,1614,310.94,84.02,68.03
8/1/2017 0:00,offline,TENNIS,1614,903.15,105.67,79.21
8/1/2017 0:00,offline,TABLE_TENNIS,1618,232.72,102.64,89.21
8/1/2017 0:00,online,CROSSTRAIN,191,511.57,56.84,85.14
8/1/2017 0:00,offline,YOGA,1614,409.68,67.75,58.4
8/1/2017 0:00,online,CLIMBING,191,188.94,12.06,79.99
8/1/2017 0:00,offline,CLIMBING,1618,454.37,27.31,39.41
8/1/2017 0:00,offline,BADMINTON,1618,391.91,88.79,32.61
8/1/2017 0:00,offline,CYCLING,1614,449.71,55.61,5.97
8/1/2017 0:00,online,PILATES,191,139.05,81.04,30.21
8/1/2017 0:00,offline,RUGBY,1618,64.34,98.22,56.8
8/1/2017 0:00,online,HIKING/TREKKING,191,2207.16,233.7,65.34
8/1/2017 0:00,offline,GOLF,1614,183.85,18.3,9.57
8/1/2017 0:00,online,Others,191,142.03,28.29,60.6
8/1/2017 0:00,offline,FITNESS,1614,925.23,78.76,114.1
8/1/2017 0:00,offline,CROSSTRAIN,1614,1767.22,88.96,92.5
8/1/2017 0:00,offline,HIKING/TREKKING,1614,4666.58,169.27,116.96
8/1/2017 0:00,online,JOG/RUN,191,296.41,82.93,15.86
8/1/2017 0:00,offline,VOLLEYBALL,1618,86.84,72.95,6.87
8/1/2017 0:00,online,SKI,191,149.94,96.22,31.12
8/1/2017 0:00,online,BASKETBALL,191,250.26,75.9,92.68
8/1/2017 0:00,offline,TRAIL,1614,1523.62,29.56,67.87
8/1/2017 0:00,online,TENNIS,191,66.48,26.43,52.16
8/2/2017 0:00,offline,FITNESS,1618,18667.32,682.48,542.57
8/2/2017 0:00,offline,CYCLING,1618,11686.45,247.94,196.84
8/2/2017 0:00,offline,TENNIS,1614,7282.42,363.11,256.3
8/2/2017 0:00,offline,SWIMMING,1618,27621.09,771.74,394.27
8/2/2017 0:00,offline,TENNIS,1618,4815.01,193.49,181.67
8/2/2017 0:00,offline,SWIMMING,1614,12574.11,410.88,235
8/2/2017 0:00,offline,CLIMBING,1618,2216.33,100.62,23.08
8/2/2017 0:00,offline,TABLE_TENNIS,1618,1145.64,106.3,75.11
8/2/2017 0:00,offline,VOLLEYBALL,1614,286,31.93,28.38
8/2/2017 0:00,offline,CROSSTRAIN,1618,14889.07,271.61,205.34
8/2/2017 0:00,offline,JOG/RUN,1618,58724.35,1239.93,615.87
8/2/2017 0:00,online,GOLF,191,557.92,63.8,8.64
8/2/2017 0:00,online,SAILING,191,593.35,31.17,17.69
8/2/2017 0:00,offline,DIVING,1618,15285.03,348.67,201.25
8/2/2017 0:00,offline,SURFING,1618,15536.77,317.69,225.07
8/2/2017 0:00,offline,BASKETBALL,1618,5554.03,189.31,89.01
8/2/2017 0:00,offline,BADMINTON,1618,6664.94,90.16,57.73
8/2/2017 0:00,offline,TRAIL,1614,5368.47,53.83,102.43
8/2/2017 0:00,offline,TRAIL,1618,8710.51,165.69,133.73
8/2/2017 0:00,online,BADMINTON,191,269.54,73.98,98.8
8/2/2017 0:00,offline,DIVING,1614,6982.84,220.23,155.91
8/2/2017 0:00,offline,SKATE/ROLLER,1618,10730.44,100.34,155.68
8/2/2017 0:00,offline,SKATE/ROLLER,1614,2039.78,88.96,62.06
8/2/2017 0:00,offline,GOLF,1614,566.85,80.62,22.75
8/2/2017 0:00,offline,JOG/RUN,1614,26543.36,842.83,470.29
8/2/2017 0:00,offline,PILATES,1618,9293.99,416.61,320.39
8/2/2017 0:00,online,DIVING,191,1181.38,82.55,49.01
8/2/2017 0:00,online,Others,191,953.81,54.16,10.73
8/2/2017 0:00,offline,PILATES,1614,6692.29,213.96,131.61
8/2/2017 0:00,offline,SURFING,1614,10672.75,230.01,219.28
8/2/2017 0:00,offline,YOGA,1614,3689.57,103.58,131.92
8/2/2017 0:00,offline,YOGA,1618,11276.26,146.77,188.84
8/2/2017 0:00,offline,FOOTBALL,1618,8630.9,207.36,197.47
8/2/2017 0:00,offline,BASKETBALL,1614,3913.64,165.94,145.94
8/2/2017 0:00,offline,KAYAK/SUP,1618,4833.76,63.53,39.86
8/2/2017 0:00,online,YOGA,191,78.59,65.96,49.5
8/2/2017 0:00,offline,Others,1614,114.23,92.33,92.81
8/2/2017 0:00,online,SURFING,191,301.02,34.7,53.78
8/2/2017 0:00,offline,BADMINTON,1614,2823.43,143.14,114.92
8/2/2017 0:00,online,TRAIL,191,593.9,81.54,63.53
8/2/2017 0:00,online,BOXING,191,610.66,80.68,27.01
8/2/2017 0:00,offline,FITNESS,1614,10113.55,407.4,331.82
8/2/2017 0:00,offline,VOLLEYBALL,1618,242.45,19.4,43.21
8/2/2017 0:00,offline,FOOTBALL,1614,3557.62,110.54,82.93
8/2/2017 0:00,offline,BOXING,1618,913.13,58.56,31.92
8/2/2017 0:00,offline,RUGBY,1614,312.39,100.77,80.59
8/2/2017 0:00,offline,CYCLING,1614,1004.01,41.08,107.64
8/2/2017 0:00,offline,SAILING,1614,105.67,47.27,97.44
8/2/2017 0:00,offline,Others,1618,2562.84,49.5,89.85
8/2/2017 0:00,online,PILATES,191,543.17,17.49,23.59
8/2/2017 0:00,online,FOOTBALL,191,406.04,106.63,21.26
8/2/2017 0:00,offline,TRIATHLON,1614,92.62,31.18,75.2
8/2/2017 0:00,offline,GOLF,1618,1444.62,86.97,54.25
8/2/2017 0:00,offline,HIKING/TREKKING,1618,134533.34,2517.37,946.3
8/2/2017 0:00,offline,HIKING/TREKKING,1614,41454.1,1320.52,599.94
8/2/2017 0:00,offline,SQUASH,1614,25.92,71.1,77.38
8/2/2017 0:00,offline,CROSSTRAIN,1614,10580.08,159.67,179.43
8/2/2017 0:00,offline,SQUASH,1618,110.94,89.49,73.73
8/2/2017 0:00,offline,UNKNOWN,1618,295.9,11.59,31.9
8/2/2017 0:00,online,SKI,191,2083.6,79.75,80.69
8/2/2017 0:00,online,HIKING/TREKKING,191,3999.1,259.6,115.49
8/2/2017 0:00,online,BASKETBALL,191,25.96,26.34,19.39
8/2/2017 0:00,online,VOLLEYBALL,191,21.4,46.35,15.55
8/2/2017 0:00,online,FITNESS,191,4566.58,106.3,100.39
8/2/2017 0:00,online,JOG/RUN,191,1214.32,75.9,97.47
8/2/2017 0:00,online,CYCLING,191,139.5,34.69,57.96
8/2/2017 0:00,offline,UNKNOWN,1614,52.96,21.38,7.6
8/2/2017 0:00,online,CROSSTRAIN,191,4237.28,58.26,79.05
8/2/2017 0:00,online,TENNIS,191,54,85.54,81.68
8/2/2017 0:00,offline,TABLE_TENNIS,1614,294.52,99.13,63.45
8/2/2017 0:00,online,SWIMMING,191,1579.06,86.95,98.05
8/2/2017 0:00,offline,SKI,1614,-79.39,25.96,61.59
8/2/2017 0:00,online,KAYAK/SUP,191,128,71.92,78.15
8/3/2017 0:00,offline,CROSSTRAIN,1614,5802.78,192.54,145.69
8/3/2017 0:00,offline,VOLLEYBALL,1614,131.49,87.44,61.39
8/3/2017 0:00,offline,TENNIS,1618,5483.88,333.45,163.91
8/3/2017 0:00,offline,SURFING,1618,10728.47,248.82,208.37
8/3/2017 0:00,offline,JOG/RUN,1618,45939.73,1032.05,492.71
8/3/2017 0:00,offline,SURFING,1614,8419.63,228.23,149.53
8/3/2017 0:00,offline,YOGA,1614,4074.88,129.69,142.3
8/3/2017 0:00,offline,DIVING,1618,11914.35,228.29,168
8/3/2017 0:00,online,SKATE/ROLLER,191,423.69,92.12,94.1
8/3/2017 0:00,offline,TRAIL,1614,3188.78,58.66,101.17
8/3/2017 0:00,offline,JOG/RUN,1614,20033.3,588.08,396.48
8/3/2017 0:00,offline,PILATES,1614,4093.6,245.08,129.36
8/3/2017 0:00,offline,SWIMMING,1614,8382.71,303.04,279.41
8/3/2017 0:00,offline,BADMINTON,1618,4185.57,121.09,125.6
8/3/2017 0:00,online,JOG/RUN,191,1886.08,129.07,56.07
8/3/2017 0:00,offline,GOLF,1618,1793.38,104.3,72.28
8/3/2017 0:00,online,KAYAK/SUP,191,123.33,36.7,72.8
8/3/2017 0:00,online,BASKETBALL,191,115.05,89.76,64
8/3/2017 0:00,offline,BASKETBALL,1614,2587.73,100.95,77.78
8/3/2017 0:00,offline,FOOTBALL,1618,14718.84,311.53,154.53
8/3/2017 0:00,offline,PILATES,1618,13907.85,447.86,271.4
8/3/2017 0:00,offline,KAYAK/SUP,1618,1602.03,66.96,101.05
8/3/2017 0:00,offline,TABLE_TENNIS,1614,175.95,25.37,49.78
8/3/2017 0:00,offline,TENNIS,1614,8646.01,276.83,228.8
8/3/2017 0:00,offline,BASKETBALL,1618,5075.62,203.94,129.69
8/3/2017 0:00,offline,SWIMMING,1618,22748.61,746.99,344.85
8/3/2017 0:00,offline,CLIMBING,1618,4104.65,104.45,103.33
8/3/2017 0:00,online,Others,191,627.66,47.1,3.86
8/3/2017 0:00,offline,SKATE/ROLLER,1614,2771.65,105.8,16.92
8/3/2017 0:00,offline,TRIATHLON,1614,116.8,17.38,89.06
8/3/2017 0:00,offline,BADMINTON,1614,2277.83,48.49,43.47
8/3/2017 0:00,offline,Others,1618,5510.47,98.75,94.83
8/3/2017 0:00,offline,FOOTBALL,1614,4454.92,123.84,89.29
8/3/2017 0:00,offline,TABLE_TENNIS,1618,602.88,63.89,90.96
8/3/2017 0:00,offline,TRAIL,1618,6226.92,112.81,97.82
8/3/2017 0:00,offline,DIVING,1614,7398.17,103.92,83.19
8/3/2017 0:00,online,GOLF,191,126.71,4.45,49.13
8/3/2017 0:00,offline,YOGA,1618,10498.6,163.42,103.19
8/3/2017 0:00,offline,HIKING/TREKKING,1614,34445.58,869.61,499.62
8/3/2017 0:00,offline,SKATE/ROLLER,1618,9398.17,118.17,84.63
8/3/2017 0:00,offline,SAILING,1614,126.05,99.43,74.21
8/3/2017 0:00,online,CYCLING,191,586.07,56.74,71.54
8/3/2017 0:00,offline,GOLF,1614,735.16,70.87,54.74
8/3/2017 0:00,offline,CYCLING,1614,824.99,68.9,29.22
8/3/2017 0:00,offline,BOXING,1618,1611.43,43.4,46.77
8/3/2017 0:00,online,FOOTBALL,191,207.65,58.83,4.47
8/3/2017 0:00,offline,RUGBY,1618,57.63,64.5,11.96
8/3/2017 0:00,offline,SQUASH,1614,218.04,13.52,41.5
8/3/2017 0:00,online,BOXING,191,40.12,52.74,60.45
8/3/2017 0:00,offline,CYCLING,1618,7042.01,179.69,140.65
8/3/2017 0:00,offline,UNKNOWN,1618,-359.22,41.45,55.14
8/3/2017 0:00,offline,Others,1614,101.47,10.7,46.45
8/3/2017 0:00,online,HIKING/TREKKING,191,4713.4,152.34,123.96
8/3/2017 0:00,offline,FITNESS,1618,13663.5,541.96,437.21
8/3/2017 0:00,online,FITNESS,191,757.95,60.06,74.27
8/3/2017 0:00,offline,SQUASH,1618,373.69,88.01,57.31
8/3/2017 0:00,online,BADMINTON,191,55.14,99.48,6.62
8/3/2017 0:00,offline,HIKING/TREKKING,1618,67477.14,1543.32,721.29
8/3/2017 0:00,online,SKI,191,172.35,58.57,13.54
8/3/2017 0:00,online,DIVING,191,418.49,16.8,103.73
8/3/2017 0:00,online,YOGA,191,299.34,36.1,35.16
8/3/2017 0:00,offline,CROSSTRAIN,1618,15977.12,228.47,218.16
8/3/2017 0:00,offline,FITNESS,1614,11287.44,363.85,308.48
8/3/2017 0:00,online,TENNIS,191,297.92,12.01,45.34
8/3/2017 0:00,offline,UNKNOWN,1614,27.52,76.53,15.66
8/3/2017 0:00,online,CROSSTRAIN,191,3362.03,100.69,28.02
8/3/2017 0:00,online,PILATES,191,404.86,18.25,97.32
8/3/2017 0:00,offline,RUGBY,1614,57.21,84.15,97.45
8/3/2017 0:00,offline,VOLLEYBALL,1618,852.3,94.37,111.19
8/3/2017 0:00,online,SURFING,191,314.36,75.86,84.54
8/3/2017 0:00,online,TABLE_TENNIS,191,86.36,55.4,74.33
8/3/2017 0:00,online,SWIMMING,191,724.95,32.19,33.27
8/4/2017 0:00,offline,SURFING,1614,8350.6,284.3,164.18
8/4/2017 0:00,offline,FOOTBALL,1618,9879.62,273.2,126.87
8/4/2017 0:00,offline,DIVING,1614,5800.1,61.52,90.84
8/4/2017 0:00,offline,CYCLING,1618,8472.93,229.08,163.98
